ScientificName,other,corrected_tsn
Asteraceae,family,
Baccharis halimifolia,,183760
Salicornia virginica,,20649
Rhodophyta,algae,
Salicornia depressa,,20649
Ulva lactuca,algae,
Cyanophycota,algae,
Aronia prunifolia,algae,
Ascophyllum nodosum ,algae,
Eupatorium dubium,,780331
Eupatorium maculatum,,80333
Euthamia tenuifolia,,513470
Fucus vesiculosus,algae,
Habenaria clavellata,,43423
Rhus copallina,,504754
Scirpus robustus,,521095
Solidago elliottii,,505283
Aronia arbutifolia,,565398
Ascophyllum sp.,algae,
Juncus conglomeratus,,39232
Scirpus americanus,,508141
Aronia sp.,,565398
Chaetomorpha linum,algae,
Cladophora sp.,algae,
Plantago oliganthos,,32871
Spergularia marina var marina,,507251
Aronia melanocarpa,,565397
Sambucas canadensis,,35324
Scutellaria epilobiifolia,,32798
Solidago latifolia,,36257
Atriplex hastata,,192279
Scirpus pungens,,508146
Ulva intestinalis,algae,
Viburnum dentatum var. lucidum,,530803
Avenella flexuosa,,40595
Erechtites hieraciifolius,,37320
Fucus spiralis,algae,
Osmundastrum cinnamomea,,17219
Ulva sp.,algae,
Malvacea,family,
poacea,family,
Juncacea,family,
Persicaria sp.,,20915
Persicaria perfoliata,,20914
Setaria geniculata,,505191
Agardhiella tenera,algae,
Euphorbia polygonifolia,,501453
Rhus typhina,,28777
Bromus Sp.,,40478
Fucus sp.,algae,
Gracilaria,algae,
Iopomoea Sp.,,30758
Melilotas sp.,,26148
SOLANUM NIGRUM,,565525
Lamiacea spp,family,
