Accepted Symbol,Synonym Symbol,Scientific Name,Common Name,Invasive/Noxious Status,FIPS Code
AGGI,,Agrostemma githago L.,common corncockle,Restricted (seed) (New Jersey),US34
AGROS2,,Agrostis L.,bentgrass,Restricted (seed) (New Jersey),US34
ALCA3,,Allium canadense L.,meadow garlic,Restricted (seed) (New Jersey),US34
ALVI,,Allium vineale L.,wild garlic,Restricted (seed) (New Jersey),US34
AMTR,,Ambrosia trifida L.,great ragweed,Restricted (seed) (New Jersey),US34
ANCR2,,Anoda cristata (L.) Schltdl.,crested anoda,Restricted (seed) (New Jersey),US34
BRSE,,Bromus secalinus L.,rye brome,Restricted (seed) (New Jersey),US34
CASES,,Calystegia sepium (L.) R. Br. ssp. sepium ,hedge bindweed,,
CIAR4,,Cirsium arvense (L.) Scop.,Canada thistle,"Invasive (DOC) (Missouri), Invasive, Prohibited (Connecticut), Prohibited (Alaska), Prohibited (New York), Prohibited (seed) (New Jersey), Restricted (Wisconsin), Watch List (Alabama)",
COAR4,,Convolvulus arvensis L.,bindweed,"Prohibited (Alaska), Prohibited (seed) (New Jersey)",
CUSCU,,Cuscuta L.,dodder,Restricted (seed) (New Jersey),US34
CYNOD,,Cynodon Rich.,Bermudagrass,Restricted (seed) (New Jersey),US34
CYDA,,Cynodon dactylon (L.) Pers.,Bermudagrass,Restricted (seed) (New Jersey),
DAGL,,Dactylis glomerata L.,orchardgrass,Restricted (seed) (New Jersey),US34
ELRE4,,Elymus repens (L.) Gould,quackgrass,,
HOLA,,Holcus lanatus L.,common velvetgrass,Restricted (seed) (New Jersey),US34
PHPR3,,Phleum pratense L.,timothy,Restricted (seed) (New Jersey),
POAN,,Poa annua L.,annual bluegrass,"Restricted (Alaska), Restricted (seed) (New Jersey)",
POTR2,,Poa trivialis L.,rough bluegrass,Restricted (seed) (New Jersey),
SCAR7,,"Schedonorus arundinaceus (Schreb.) Dumort., nom. cons.",tall fescue,,
SCPR4,,Schedonorus pratensis (Huds.) P. Beauv.,meadow fescue,,
SIAN,,Sicyos angulatus L.,oneseed bur cucumber,Restricted (seed) (New Jersey),US34
SOCA3,,Solanum carolinense L.,Carolina horsenettle,"Prohibited (Alaska), Prohibited (seed) (New Jersey)",US34
SORGH2,,Sorghum Moench,sorghum,Restricted (seed) (New Jersey),US34
SOAL,,Sorghum almum Parodi,Columbus grass,Restricted (seed) (New Jersey),US34
